"Sp","Betacov","R.Alb","R.Dal1","R.Far1","R.Po2","R.Po3","Rank","PropRank","InSample"
"Canis simensis",0,0.536105815061964,0.384507042253521,0.202816901408451,NA,NA,888.833333333333,0.374476586241312,1
"Tamias striatus",0,0.824714013346044,0.0429577464788732,0.26056338028169,NA,NA,1225.33333333333,0.376078380035536,1
"Rhinolophus creaghi",1,0.0626787416587226,0.566197183098592,0.5,NA,NA,340,0.376291974919105,1
"Nyctalus lasiopterus",0,0.0349142040038132,0.452112676056338,0.642253521126761,NA,NA,307.833333333333,0.376426800395637,1
"Peromyscus gossypinus",0,0.790514775977121,0.108450704225352,0.230985915492958,NA,NA,1186,0.37665046523181,1
"Lepus californicus",0,0.852359389895138,0.113380281690141,0.167605633802817,NA,NA,1258.66666666667,0.377781768462699,1
"Macrotus californicus",0,0.22199714013346,0.176760563380282,0.735211267605634,NA,NA,526.333333333333,0.377989657039792,1
"Lontra canadensis",0,0.570305052430887,0.402816901408451,0.164788732394366,NA,NA,932,0.379303562077901,1
"Caluromys philander",0,NA,0.406338028169014,0.353521126760563,NA,NA,269.75,0.379929577464789,1
"Megaerops niphanae",1,0.0117969494756911,0.566197183098592,0.561971830985916,NA,NA,283.5,0.379988654520066,1
"Nanger granti",0,0.375119161105815,0.522535211267606,0.243661971830986,NA,NA,706,0.380438781401469,1
"Pongo pygmaeus",0,0.506196377502383,0.591549295774648,0.0464788732394366,NA,NA,859,0.381408182172156,1
"Natalus stramineus",0,0.253574833174452,0.35,0.540845070422535,NA,NA,565.5,0.381473301198996,1
"Philantomba monticola",0,0.285152526215443,0.492253521126761,0.367605633802817,NA,NA,602.333333333333,0.381670560381674,1
"Gerbilliscus kempi",0,0.390610104861773,0.490140845070423,0.267605633802817,NA,NA,725.666666666667,0.382785527911671,1
"Glossophaga morenoi",0,0.200190657769304,0.176760563380282,0.771830985915493,NA,NA,504.5,0.382927402355026,1
"Lama glama",1,NA,0.508450704225352,0.259154929577465,NA,NA,272.5,0.383802816901408,1
"Cercopithecus mona",0,0.521091515729266,0.516901408450704,0.115492957746479,NA,NA,878.5,0.384495293975483,1
