"Sp","Betacov","R.Alb","R.Car3","R.Gut1","R.Stock1","P.Alb","P.Car3","P.Gut1","P.Stock1","InSample","Rank","PropRank"
"Melonycteris melanops",0,0.465570400822199,0.684587813620072,0.724910394265233,0.133776091081594,0.17725,0.0626118909433704,0.197213429782856,0.382984714258376,0,541.75,0.502211174947275
"Hipposideros stenotis",0,0.852004110996917,0.550179211469534,0.387992831541219,0.219165085388994,0.129083333333333,0.100647393060673,0.515192056228466,0.331090534572794,0,526.75,0.502335309849166
"Pteropus rayneri",0,0.412127440904419,0.695340501792115,0.720430107526882,0.191650853889943,0.180166666666667,0.0593020643064652,0.201859014583359,0.348579623080295,0,545.75,0.50488722602834
"Mops niveiventer",0,0.651593011305241,0.385304659498208,0.481182795698925,0.507590132827324,0.155416666666667,0.182304160047777,0.40789229571367,0.205866962375608,0,534,0.506417649832425
"Nyctimene major",0,0.479445015416238,0.620967741935484,0.655017921146953,0.274193548387097,0.176583333333333,0.075315006739314,0.246469443468148,0.296130219925824,0,544.875,0.507406056721443
"Hipposideros inexpectatus",0,NA,0.615591397849462,0.573476702508961,0.333965844402277,NA,0.0762699049817501,0.336613226391713,0.267002682067554,0,559.666666666667,0.5076779815869
"Pteropus yapensis",0,NA,0.630824372759857,0.670250896057348,0.229601518026565,NA,0.0724673272053528,0.23543421857665,0.326271493913611,0,564.666666666667,0.51022559561459
"Taphozous hamiltoni",0,0.94141829393628,0.383512544802867,0.287634408602151,0.430740037950664,0.118,0.183954792026935,0.655776814254715,0.225286743217907,0,529.75,0.51082632132299
"Otomops formosus",0,0.834532374100719,0.363799283154122,0.330645161290323,0.515180265654649,0.131166666666667,0.201451766132572,0.588502388717202,0.204168015632157,0,532.5,0.511039271049953
"Laephotis botswanae",0,0.233299075025694,0.510752688172043,0.671146953405018,0.629981024667932,0.202083333333333,0.124247570485451,0.235117193595676,0.164978021917358,0,552.5,0.511294935317672
"Dobsonia beauforti",0,0.505652620760534,0.50179211469534,0.57168458781362,0.468690702087287,0.17525,0.12872286445179,0.337817253335964,0.215090661937956,0,546,0.511955006339195
"Vespadelus caurinus",0,0.456834532374101,0.584229390681004,0.416666666666667,0.592979127134725,0.177666666666667,0.0860683847112678,0.484003054611971,0.176784399058766,0,546.625,0.512677429214124
"Murina aenea",0,0.189105858170606,0.3584229390681,0.635304659498208,0.868121442125237,0.209833333333333,0.204959746032405,0.266956216132844,0.0897030627351008,0,552,0.512738724715538
"Hipposideros breviceps",0,NA,0.509856630824373,0.805555555555556,0.223908918406072,NA,0.124678092895065,0.140029569913435,0.327267557790316,0,568,0.513107034928667
"Hipposideros sorenseni",0,NA,0.408602150537634,0.618279569892473,NA,NA,0.169402227006027,0.283487153590804,NA,0,573,0.513440860215054
"Hipposideros coxi",0,0.850976361767729,0.475806451612903,0.522401433691756,0.212523719165085,0.129166666666667,0.13785819568508,0.386951036905844,0.33735860888172,0,541.5,0.515426991559368
"Syconycteris hobbit",0,0.500513874614594,0.618279569892473,0.651433691756272,0.292220113851992,0.1755,0.0757302350375165,0.248558383594065,0.284733372268834,0,553,0.515611812528833
"Nyctimene masalai",0,0.535971223021583,0.683691756272401,0.732078853046595,0.116698292220114,0.17375,0.0626779531166423,0.194007608191085,0.394914176230397,0,556.125,0.517110031140173
"Nycteris woodi",0,0.685508735868448,0.542114695340502,0.592293906810036,0.250474383301708,0.146416666666667,0.105195500482022,0.318225817811229,0.313450339713767,0,549.25,0.517597930330173
"Glauconycteris gleni",0,NA,0.390681003584229,0.425627240143369,0.751423149905123,NA,0.180338578319499,0.477456983294588,0.130649569126509,0,567.666666666667,0.522577131210907
"Neoromicia brunneus",0,NA,0.301971326164875,0.640681003584229,0.627134724857685,NA,0.256635994175216,0.259996452165639,0.165274452821839,0,571,0.523262351535596
"Rhinolophus montanus",0,NA,0.690860215053763,0.792114695340502,0.0891840607210626,NA,0.0610830576876571,0.150426692072711,0.417585137506615,0,583,0.524052990371776
